image,human_bt_score,llm_bt_score,bt_score_difference,human_quartile,category
Bark.jpg,-1.9045422899337505,-6.526258458321001,-4.62171616838725,Q1 (lowest),Outdoor objects & surfaces
Wall(4).jpg,-0.04199055523719819,-1.2498041877289974,-1.2078136324917992,Q2,Outdoor objects & surfaces
Leather chair.jpg,0.14510273445733873,0.542880805762515,0.39777807130517623,Q3,Skin / Hair / Fur
Skin.png,0.8577457104409841,1.9796793281871956,1.1219336177462114,Q3,Skin / Hair / Fur
Skin(1).jpg,0.39146496894126304,3.031973512550805,2.640508543609542,Q3,Skin / Hair / Fur
Clay sculpture_.jpg,-1.3178246348557288,-0.17070703122835162,1.1471176036273771,Q1 (lowest),Hard / other surfaces
Whiteboard.jpg,2.2345397402259746,3.877512718887642,1.6429729786616676,Q4 (highest),Hard / other surfaces
Wooden sign.jpg,-1.0638134702474868,-4.21030948389418,-3.1464960136466935,Q1 (lowest),Outdoor objects & surfaces
Rock.jpg,-0.9780186916550045,-7.120269111986744,-6.142250420331739,Q1 (lowest),Outdoor objects & surfaces
Wall(5).jpg,-1.6374950300511948,-2.911518674082422,-1.2740236440312271,Q1 (lowest),Outdoor objects & surfaces
Stuffed animal fabric.jpg,0.6036183665904409,1.5168645638588492,0.9132461972684083,Q3,Fabrics & soft surfaces
Rope.jpg,-1.0347473017594866,-1.2452217038077737,-0.21047440204828716,Q1 (lowest),Fabrics & soft surfaces
Styrofoam_.jpg,-0.5798990370230076,-3.8647877107651203,-3.284888673742113,Q2,Hard / other surfaces
Pavement_.jpg,-2.9364545364873913,-4.792265059302033,-1.8558105228146418,Q1 (lowest),Outdoor objects & surfaces
Weave bag(1).jpg,-0.6992548247404039,-0.29683362881979125,0.40242119592061265,Q2,Fabrics & soft surfaces
Towel(1).jpg,0.35773276247163716,-1.086690452097352,-1.444423214568989,Q3,Fabrics & soft surfaces
Table(1).jpg,0.9017469469919523,3.891806402272745,2.990059455280793,Q3,Hard / other surfaces
Sidewalk.jpg,-0.8718249365482739,-1.6328576999612476,-0.7610327634129738,Q2,Outdoor objects & surfaces
Pavement.jpg,-0.6272260356367202,-5.289286931215355,-4.662060895578635,Q2,Outdoor objects & surfaces
Wall(1).jpg,-1.080191119508184,-2.5704182447163983,-1.4902271252082144,Q1 (lowest),Outdoor objects & surfaces
Bedsheets_.jpg,1.4843575918297227,3.0821549633787675,1.5977973715490448,Q4 (highest),Fabrics & soft surfaces
Fabric.jpg,0.22295684923519143,0.021091618462727446,-0.201865230772464,Q3,Fabrics & soft surfaces
Fan vent.jpg,-0.9086619828844841,3.454621568060594,4.363283550945078,Q1 (lowest),Hard / other surfaces
Fan vent(1).jpg,-0.9046391788051314,0.4615651109846337,1.3662042897897653,Q1 (lowest),Hard / other surfaces
Towel.jpg,-0.5855540101356532,-1.7674555813566508,-1.1819015712209975,Q2,Fabrics & soft surfaces
Hair(2).jpg,0.0309694944777551,-4.0804615009867895,-4.111430995464545,Q2,Skin / Hair / Fur
Water bottle.jpg,0.15181223774640873,3.8370664137773183,3.6852541760309094,Q3,Hard / other surfaces
Weave bag.jpg,-0.6567276173183897,1.5690226030506504,2.22575022036904,Q2,Fabrics & soft surfaces
Wood.jpg,1.208825619552009,3.445408998681472,2.2365833791294634,Q4 (highest),Outdoor objects & surfaces
Bed headboard fabric_.jpg,0.06884292994645624,-1.2808239533800734,-1.3496668833265297,Q2,Fabrics & soft surfaces
Hair.jpg,0.09472411477555431,3.388748078581875,3.2940239638063207,Q3,Skin / Hair / Fur
Wall(3).jpg,-0.1274562504557274,-2.3684933397912538,-2.2410370893355265,Q2,Outdoor objects & surfaces
Wall(2).jpg,-1.7204079643911627,-4.954330402686913,-3.23392243829575,Q1 (lowest),Outdoor objects & surfaces
Lamp fabric.jpg,1.3891443429459152,2.8488085285183806,1.4596641855724655,Q4 (highest),Fabrics & soft surfaces
Book paper.jpg,-0.572914432100969,1.7194341047466601,2.292348536847629,Q2,Hard / other surfaces
Plastic.jpg,0.7653811454273585,2.3934031387137744,1.628021993286416,Q3,Hard / other surfaces
Stuffed animal fur.jpg,1.6322543081725962,1.5707173787421174,-0.06153692943047884,Q4 (highest),Skin / Hair / Fur
Skin.jpg,1.358019657557064,2.8166343242045055,1.4586146666474415,Q4 (highest),Skin / Hair / Fur
Paper.jpg,1.2872499622663471,2.123093580016816,0.8358436177504687,Q4 (highest),Hard / other surfaces
Table.jpg,2.3016883712762417,4.162319358642529,1.8606309873662874,Q4 (highest),Hard / other surfaces
Sandpaper.jpg,-1.1852306209276193,-1.4201931866204967,-0.23496256569287732,Q1 (lowest),Outdoor objects & surfaces
Wall.jpg,0.3806155088227326,1.987061245007325,1.6064457361845925,Q3,Outdoor objects & surfaces
Table(2).jpg,0.2872720489176534,0.7877214566495865,0.500449407731933,Q3,Hard / other surfaces
Carpet.jpg,-0.7222277215143497,-2.0427376194719926,-1.3205098979576428,Q2,Fabrics & soft surfaces
Graphite drawing.jpg,1.1582498179602692,-0.15636880958675103,-1.3146186275470202,Q4 (highest),Hard / other surfaces
Fishing line.jpg,1.458311668333687,3.4701041843538443,2.011792516020157,Q4 (highest),Hard / other surfaces
Wall(6).jpg,-2.6099420976548413,-4.427286025183428,-1.817343927528587,Q1 (lowest),Outdoor objects & surfaces
Wood(1).jpg,-1.2058371378828139,-2.9098149893289085,-1.7039778514460946,Q1 (lowest),Outdoor objects & surfaces
Pillowcase fabric_.jpg,-0.3270872531511353,0.3712776976893295,0.6983649508404648,Q2,Fabrics & soft surfaces
Plastic bag.jpg,1.7465070542744208,3.9978052086951283,2.2512981544207076,Q4 (highest),Hard / other surfaces
Blanket.jpg,0.6771964868851644,0.11772677846507307,-0.5594697084200914,Q3,Fabrics & soft surfaces
Hair(1).jpg,1.5730035518022207,2.736239400175593,1.1632358483733722,Q4 (highest),Skin / Hair / Fur
Paper(1).jpg,1.5306347385817631,3.1724507152015686,1.6418159766198055,Q4 (highest),Hard / other surfaces
